in s,C1 in V
-1.20000E-07,-5.53340E-02
-1.19800E-07,-5.63105E-02
-1.19600E-07,-5.72871E-02
-1.19400E-07,-5.67988E-02
-1.19200E-07,-5.63105E-02
-1.19000E-07,-5.67988E-02
-1.18800E-07,-5.77754E-02
-1.18600E-07,-5.77754E-02
-1.18400E-07,-5.67988E-02
-1.18200E-07,-5.67988E-02
-1.18000E-07,-5.77754E-02
-1.17800E-07,-5.82637E-02
-1.17600E-07,-5.77754E-02
-1.17400E-07,-5.77754E-02
-1.17200E-07,-5.77754E-02
-1.17000E-07,-5.77754E-02
-1.16800E-07,-5.72871E-02
-1.16600E-07,-5.72871E-02
-1.16400E-07,-5.72871E-02
-1.16200E-07,-5.67988E-02
-1.16000E-07,-5.63105E-02
-1.15800E-07,-5.63105E-02
-1.15600E-07,-5.63105E-02
-1.15400E-07,-5.63105E-02
-1.15200E-07,-5.48457E-02
-1.15000E-07,-5.28926E-02
-1.14800E-07,-5.14277E-02
-1.14600E-07,-5.14277E-02
-1.14400E-07,-5.19160E-02
-1.14200E-07,-5.14277E-02
-1.14000E-07,-4.94746E-02
-1.13800E-07,-4.75215E-02
-1.13600E-07,-4.60566E-02
-1.13400E-07,-4.50801E-02
-1.13200E-07,-4.26387E-02
-1.13000E-07,-3.92207E-02
-1.12800E-07,-3.62910E-02
-1.12600E-07,-3.48262E-02
-1.12400E-07,-3.28730E-02
-1.12200E-07,-2.94551E-02
-1.12000E-07,-2.65254E-02
-1.11800E-07,-2.45723E-02
-1.11600E-07,-2.21309E-02
-1.11400E-07,-1.77363E-02
-1.11200E-07,-1.33418E-02
-1.11000E-07,-1.13887E-02
-1.10800E-07,-1.04121E-02
-1.10600E-07,-7.97070E-03
-1.10400E-07,-3.08789E-03
-1.10200E-07,1.30664E-03
-1.10000E-07,4.23633E-03
-1.09800E-07,6.67773E-03
-1.09600E-07,1.00957E-02
-1.09400E-07,1.30254E-02
-1.09200E-07,1.54668E-02
-1.09000E-07,1.79082E-02
-1.08800E-07,2.13262E-02
-1.08600E-07,2.52324E-02
-1.08400E-07,2.81621E-02
-1.08200E-07,3.01152E-02
-1.08000E-07,3.20684E-02
-1.07800E-07,3.54863E-02
-1.07600E-07,3.84160E-02
-1.07400E-07,3.93926E-02
-1.07200E-07,3.93926E-02
-1.07000E-07,3.98809E-02
-1.06800E-07,4.23223E-02
-1.06600E-07,4.47637E-02
-1.06400E-07,4.62285E-02
-1.06200E-07,4.72051E-02
-1.06000E-07,4.81816E-02
-1.05800E-07,4.96465E-02
-1.05600E-07,5.06230E-02
-1.05400E-07,5.11113E-02
-1.05200E-07,5.20879E-02
-1.05000E-07,5.35527E-02
-1.04800E-07,5.50176E-02
-1.04600E-07,5.50176E-02
-1.04400E-07,5.40410E-02
-1.04200E-07,5.35527E-02
-1.04000E-07,5.40410E-02
-1.03800E-07,5.55059E-02
-1.03600E-07,5.69707E-02
-1.03400E-07,5.79473E-02
-1.03200E-07,5.84355E-02
-1.03000E-07,5.84355E-02
-1.02800E-07,5.94121E-02
-1.02600E-07,6.03887E-02
-1.02400E-07,6.08770E-02
-1.02200E-07,6.03887E-02
-1.02000E-07,6.03887E-02
-1.01800E-07,6.08770E-02
-1.01600E-07,6.08770E-02
-1.01400E-07,6.08770E-02
-1.01200E-07,6.18535E-02
-1.01000E-07,6.33184E-02
