in s,C1 in V
-6.0000E-08,-9.26641E-03
-5.9900E-08,-1.08289E-02
-5.9800E-08,-1.23914E-02
-5.9700E-08,-1.37586E-02
-5.9600E-08,-1.53211E-02
-5.9500E-08,-1.66883E-02
-5.9400E-08,-1.80555E-02
-5.9300E-08,-1.94227E-02
-5.9200E-08,-2.07898E-02
-5.9100E-08,-2.21570E-02
-5.9000E-08,-2.35242E-02
-5.8900E-08,-2.48914E-02
-5.8800E-08,-2.60633E-02
-5.8700E-08,-2.70398E-02
-5.8600E-08,-2.80164E-02
-5.8500E-08,-2.87977E-02
-5.8400E-08,-2.95789E-02
-5.8300E-08,-3.03602E-02
-5.8200E-08,-3.13367E-02
-5.8100E-08,-3.23133E-02
-5.8000E-08,-3.32898E-02
-5.7900E-08,-3.42664E-02
-5.7800E-08,-3.52430E-02
-5.7700E-08,-3.60242E-02
-5.7600E-08,-3.68055E-02
-5.7500E-08,-3.75867E-02
-5.7400E-08,-3.81727E-02
-5.7300E-08,-3.87586E-02
-5.7200E-08,-3.93445E-02
-5.7100E-08,-3.99305E-02
-5.7000E-08,-4.03211E-02
-5.6900E-08,-4.09070E-02
-5.6800E-08,-4.14930E-02
-5.6700E-08,-4.20789E-02
-5.6600E-08,-4.28602E-02
-5.6500E-08,-4.34461E-02
-5.6400E-08,-4.38367E-02
-5.6300E-08,-4.42273E-02
-5.6200E-08,-4.46180E-02
-5.6100E-08,-4.48133E-02
-5.6000E-08,-4.52039E-02
-5.5900E-08,-4.55945E-02
-5.5800E-08,-4.61805E-02
-5.5700E-08,-4.63758E-02
-5.5600E-08,-4.67664E-02
-5.5500E-08,-4.69617E-02
-5.5400E-08,-4.71570E-02
-5.5300E-08,-4.73523E-02
-5.5200E-08,-4.77430E-02
-5.5100E-08,-4.81336E-02
-5.5000E-08,-4.87195E-02
-5.4900E-08,-4.91102E-02
-5.4800E-08,-4.93055E-02
-5.4700E-08,-4.95008E-02
-5.4600E-08,-4.96961E-02
-5.4500E-08,-4.96961E-02
-5.4400E-08,-5.00867E-02
-5.4300E-08,-5.04773E-02
-5.4200E-08,-5.10633E-02
-5.4100E-08,-5.16492E-02
-5.4000E-08,-5.20398E-02
-5.3900E-08,-5.22352E-02
-5.3800E-08,-5.22352E-02
-5.3700E-08,-5.22352E-02
-5.3600E-08,-5.24305E-02
-5.3500E-08,-5.26258E-02
-5.3400E-08,-5.32117E-02
-5.3300E-08,-5.36023E-02
-5.3200E-08,-5.39930E-02
-5.3100E-08,-5.41883E-02
-5.3000E-08,-5.43836E-02
-5.2900E-08,-5.41883E-02
-5.2800E-08,-5.41883E-02
-5.2700E-08,-5.41883E-02
-5.2600E-08,-5.43836E-02
-5.2500E-08,-5.45789E-02
-5.2400E-08,-5.49695E-02
-5.2300E-08,-5.53602E-02
-5.2200E-08,-5.55555E-02
-5.2100E-08,-5.55555E-02
-5.2000E-08,-5.55555E-02
-5.1900E-08,-5.55555E-02
-5.1800E-08,-5.55555E-02
-5.1700E-08,-5.55555E-02
-5.1600E-08,-5.57508E-02
-5.1500E-08,-5.59461E-02
-5.1400E-08,-5.63367E-02
-5.1300E-08,-5.67273E-02
-5.1200E-08,-5.69227E-02
-5.1100E-08,-5.71180E-02
-5.1000E-08,-5.73133E-02
-5.0900E-08,-5.75086E-02
-5.0800E-08,-5.75086E-02
-5.0700E-08,-5.77039E-02
-5.0600E-08,-5.77039E-02
-5.0500E-08,-5.80945E-02
-5.0400E-08,-5.82898E-02
-5.0300E-08,-5.86805E-02
-5.0200E-08,-5.88758E-02
-5.0100E-08,-5.88758E-02
-5.0000E-08,-5.88758E-02
-4.9900E-08,-5.86805E-02
-4.9800E-08,-5.86805E-02
-4.9700E-08,-5.86805E-02
-4.9600E-08,-5.86805E-02
-4.9500E-08,-5.88758E-02
-4.9400E-08,-5.90711E-02
-4.9300E-08,-5.92664E-02
-4.9200E-08,-5.92664E-02
-4.9100E-08,-5.90711E-02
-4.9000E-08,-5.88758E-02
-4.8900E-08,-5.86805E-02
-4.8800E-08,-5.84852E-02
-4.8700E-08,-5.84852E-02
-4.8600E-08,-5.86805E-02
-4.8500E-08,-5.88758E-02
-4.8400E-08,-5.90711E-02
-4.8300E-08,-5.90711E-02
-4.8200E-08,-5.88758E-02
-4.8100E-08,-5.86805E-02
-4.8000E-08,-5.82898E-02
-4.7900E-08,-5.80945E-02
-4.7800E-08,-5.78992E-02
-4.7700E-08,-5.78992E-02
-4.7600E-08,-5.80945E-02
-4.7500E-08,-5.82898E-02
-4.7400E-08,-5.82898E-02
-4.7300E-08,-5.82898E-02
-4.7200E-08,-5.78992E-02
-4.7100E-08,-5.75086E-02
-4.7000E-08,-5.71180E-02
-4.6900E-08,-5.67273E-02
-4.6800E-08,-5.65320E-02
-4.6700E-08,-5.65320E-02
-4.6600E-08,-5.65320E-02
-4.6500E-08,-5.67273E-02
-4.6400E-08,-5.67273E-02
-4.6300E-08,-5.67273E-02
-4.6200E-08,-5.65320E-02
-4.6100E-08,-5.63367E-02
-4.6000E-08,-5.61414E-02
-4.5900E-08,-5.59461E-02
-4.5800E-08,-5.59461E-02
-4.5700E-08,-5.57508E-02
-4.5600E-08,-5.55555E-02
-4.5500E-08,-5.51648E-02
-4.5400E-08,-5.47742E-02
-4.5300E-08,-5.41883E-02
-4.5200E-08,-5.36023E-02
-4.5100E-08,-5.30164E-02
-4.5000E-08,-5.26258E-02
-4.4900E-08,-5.22352E-02
-4.4800E-08,-5.20398E-02
-4.4700E-08,-5.16492E-02
-4.4600E-08,-5.12586E-02
-4.4500E-08,-5.06727E-02
-4.4400E-08,-4.96961E-02
-4.4300E-08,-4.87195E-02
-4.4200E-08,-4.75477E-02
-4.4100E-08,-4.65711E-02
-4.4000E-08,-4.57898E-02
-4.3900E-08,-4.50086E-02
-4.3800E-08,-4.44227E-02
-4.3700E-08,-4.36414E-02
-4.3600E-08,-4.26648E-02
-4.3500E-08,-4.14930E-02
-4.3400E-08,-4.03211E-02
-4.3300E-08,-3.89539E-02
-4.3200E-08,-3.75867E-02
-4.3100E-08,-3.64148E-02
-4.3000E-08,-3.52430E-02
-4.2900E-08,-3.38758E-02
