in s,C1 in V
-1.2000E-06,6.93359E-03
-1.1996E-06,-7.71484E-03
-1.1992E-06,-2.83203E-03
-1.1988E-06,6.93359E-03
-1.1984E-06,2.15820E-02
-1.1980E-06,6.93359E-03
-1.1976E-06,6.93359E-03
-1.1972E-06,2.05078E-03
-1.1968E-06,2.05078E-03
-1.1964E-06,1.18164E-02
-1.1960E-06,1.66992E-02
-1.1956E-06,1.66992E-02
-1.1952E-06,2.05078E-03
-1.1948E-06,1.66992E-02
-1.1944E-06,1.66992E-02
-1.1940E-06,1.18164E-02
-1.1936E-06,2.05078E-03
-1.1932E-06,6.93359E-03
-1.1928E-06,6.93359E-03
-1.1924E-06,1.18164E-02
-1.1920E-06,1.18164E-02
-1.1916E-06,1.66992E-02
-1.1912E-06,1.66992E-02
-1.1908E-06,2.15820E-02
-1.1904E-06,2.15820E-02
-1.1900E-06,2.15820E-02
-1.1896E-06,2.05078E-03
-1.1892E-06,6.93359E-03
-1.1888E-06,1.66992E-02
-1.1884E-06,6.93359E-03
-1.1880E-06,1.18164E-02
-1.1876E-06,2.05078E-03
-1.1872E-06,1.18164E-02
-1.1868E-06,1.66992E-02
-1.1864E-06,1.18164E-02
-1.1860E-06,1.66992E-02
-1.1856E-06,6.93359E-03
-1.1852E-06,-2.83203E-03
-1.1848E-06,1.66992E-02
-1.1844E-06,2.15820E-02
-1.1840E-06,1.66992E-02
-1.1836E-06,1.66992E-02
-1.1832E-06,2.15820E-02
-1.1828E-06,6.93359E-03
-1.1824E-06,1.66992E-02
-1.1820E-06,1.18164E-02
-1.1816E-06,6.93359E-03
-1.1812E-06,2.15820E-02
-1.1808E-06,2.05078E-03
-1.1804E-06,1.66992E-02
-1.1800E-06,6.93359E-03
-1.1796E-06,1.66992E-02
-1.1792E-06,1.18164E-02
-1.1788E-06,2.64648E-02
-1.1784E-06,2.15820E-02
-1.1780E-06,1.66992E-02
-1.1776E-06,6.93359E-03
-1.1772E-06,1.18164E-02
-1.1768E-06,2.64648E-02
-1.1764E-06,2.15820E-02
-1.1760E-06,1.18164E-02
-1.1756E-06,1.66992E-02
-1.1752E-06,2.15820E-02
-1.1748E-06,6.93359E-03
-1.1744E-06,1.66992E-02
-1.1740E-06,1.18164E-02
-1.1736E-06,1.66992E-02
-1.1732E-06,6.93359E-03
-1.1728E-06,6.93359E-03
-1.1724E-06,1.18164E-02
-1.1720E-06,6.93359E-03
-1.1716E-06,1.18164E-02
-1.1712E-06,6.93359E-03
-1.1708E-06,2.05078E-03
-1.1704E-06,1.18164E-02
-1.1700E-06,6.93359E-03
-1.1696E-06,2.15820E-02
-1.1692E-06,1.18164E-02
-1.1688E-06,2.05078E-03
-1.1684E-06,2.15820E-02
-1.1680E-06,1.66992E-02
-1.1676E-06,1.18164E-02
-1.1672E-06,1.18164E-02
-1.1668E-06,1.66992E-02
-1.1664E-06,3.13477E-02
-1.1660E-06,3.62305E-02
