in s,C1 in V
-6.0000E-08,6.33418E-02
-5.9900E-08,6.13887E-02
-5.9800E-08,5.94355E-02
-5.9700E-08,5.74824E-02
-5.9600E-08,5.55293E-02
-5.9500E-08,5.40645E-02
-5.9400E-08,5.25996E-02
-5.9300E-08,5.11348E-02
-5.9200E-08,4.91816E-02
-5.9100E-08,4.77168E-02
-5.9000E-08,4.62520E-02
-5.8900E-08,4.47871E-02
-5.8800E-08,4.38105E-02
-5.8700E-08,4.33223E-02
-5.8600E-08,4.28340E-02
-5.8500E-08,4.18574E-02
-5.8400E-08,4.08809E-02
-5.8300E-08,3.94160E-02
-5.8200E-08,3.74629E-02
-5.8100E-08,3.59980E-02
-5.8000E-08,3.40449E-02
-5.7900E-08,3.30684E-02
-5.7800E-08,3.20918E-02
-5.7700E-08,3.16035E-02
-5.7600E-08,3.11152E-02
-5.7500E-08,3.06270E-02
-5.7400E-08,2.96504E-02
-5.7300E-08,2.81855E-02
-5.7200E-08,2.67207E-02
-5.7100E-08,2.57441E-02
-5.7000E-08,2.47676E-02
-5.6900E-08,2.47676E-02
-5.6800E-08,2.47676E-02
-5.6700E-08,2.47676E-02
-5.6600E-08,2.47676E-02
-5.6500E-08,2.42793E-02
-5.6400E-08,2.33027E-02
-5.6300E-08,2.28145E-02
-5.6200E-08,2.23262E-02
-5.6100E-08,2.18379E-02
-5.6000E-08,2.13496E-02
-5.5900E-08,2.08613E-02
-5.5800E-08,2.03730E-02
-5.5700E-08,1.93965E-02
-5.5600E-08,1.89082E-02
-5.5500E-08,1.79316E-02
-5.5400E-08,1.74434E-02
-5.5300E-08,1.69551E-02
-5.5200E-08,1.69551E-02
-5.5100E-08,1.69551E-02
-5.5000E-08,1.69551E-02
-5.4900E-08,1.74434E-02
-5.4800E-08,1.69551E-02
-5.4700E-08,1.64668E-02
-5.4600E-08,1.54902E-02
-5.4500E-08,1.45137E-02
-5.4400E-08,1.40254E-02
-5.4300E-08,1.35371E-02
-5.4200E-08,1.35371E-02
-5.4100E-08,1.35371E-02
-5.4000E-08,1.35371E-02
-5.3900E-08,1.35371E-02
-5.3800E-08,1.30488E-02
-5.3700E-08,1.25605E-02
-5.3600E-08,1.15840E-02
