in s,C1 in V
-1.20000E-07,9.11504E-02
-1.19800E-07,9.45684E-02
-1.19600E-07,9.74980E-02
-1.19400E-07,1.00428E-01
-1.19200E-07,1.02869E-01
-1.19000E-07,1.05311E-01
-1.18800E-07,1.07752E-01
-1.18600E-07,1.10193E-01
-1.18400E-07,1.12146E-01
-1.18200E-07,1.13611E-01
-1.18000E-07,1.16053E-01
-1.17800E-07,1.18494E-01
-1.17600E-07,1.20447E-01
-1.17400E-07,1.20936E-01
-1.17200E-07,1.21912E-01
-1.17000E-07,1.23865E-01
-1.16800E-07,1.26307E-01
-1.16600E-07,1.27771E-01
-1.16400E-07,1.28748E-01
-1.16200E-07,1.30213E-01
-1.16000E-07,1.32166E-01
-1.15800E-07,1.33631E-01
-1.15600E-07,1.34607E-01
-1.15400E-07,1.35584E-01
-1.15200E-07,1.36561E-01
-1.15000E-07,1.37537E-01
-1.14800E-07,1.38514E-01
-1.14600E-07,1.39490E-01
-1.14400E-07,1.40955E-01
-1.14200E-07,1.41932E-01
-1.14000E-07,1.42908E-01
-1.13800E-07,1.43885E-01
-1.13600E-07,1.44861E-01
-1.13400E-07,1.46326E-01
-1.13200E-07,1.47791E-01
-1.13000E-07,1.49256E-01
-1.12800E-07,1.50232E-01
-1.12600E-07,1.50232E-01
-1.12400E-07,1.50721E-01
-1.12200E-07,1.51697E-01
-1.12000E-07,1.52674E-01
-1.11800E-07,1.53162E-01
-1.11600E-07,1.53650E-01
-1.11400E-07,1.54139E-01
-1.11200E-07,1.54627E-01
-1.11000E-07,1.55115E-01
-1.10800E-07,1.55604E-01
-1.10600E-07,1.56092E-01
-1.10400E-07,1.56580E-01
-1.10200E-07,1.57068E-01
-1.10000E-07,1.57557E-01
-1.09800E-07,1.58045E-01
-1.09600E-07,1.58533E-01
-1.09400E-07,1.58533E-01
-1.09200E-07,1.58533E-01
-1.09000E-07,1.58533E-01
-1.08800E-07,1.58533E-01
-1.08600E-07,1.58045E-01
-1.08400E-07,1.57068E-01
-1.08200E-07,1.56580E-01
-1.08000E-07,1.57068E-01
-1.07800E-07,1.57557E-01
-1.07600E-07,1.57557E-01
-1.07400E-07,1.56580E-01
-1.07200E-07,1.55115E-01
-1.07000E-07,1.53650E-01
-1.06800E-07,1.53162E-01
-1.06600E-07,1.53162E-01
-1.06400E-07,1.53162E-01
-1.06200E-07,1.52674E-01
-1.06000E-07,1.51209E-01
-1.05800E-07,1.49256E-01
-1.05600E-07,1.48279E-01
-1.05400E-07,1.47303E-01
-1.05200E-07,1.45350E-01
-1.05000E-07,1.42420E-01
-1.04800E-07,1.39979E-01
-1.04600E-07,1.38514E-01
-1.04400E-07,1.37049E-01
-1.04200E-07,1.34607E-01
-1.04000E-07,1.31678E-01
-1.03800E-07,1.29236E-01
-1.03600E-07,1.25818E-01
-1.03400E-07,1.21424E-01
-1.03200E-07,1.17518E-01
-1.03000E-07,1.15076E-01
-1.02800E-07,1.12635E-01
-1.02600E-07,1.09217E-01
-1.02400E-07,1.05799E-01
-1.02200E-07,1.03846E-01
-1.02000E-07,1.01893E-01
-1.01800E-07,9.84746E-02
-1.01600E-07,9.40801E-02
-1.01400E-07,9.06621E-02
-1.01200E-07,8.82207E-02
-1.01000E-07,8.48027E-02
-1.00800E-07,8.08965E-02
-1.00600E-07,7.74785E-02
-1.00400E-07,7.45488E-02
-1.00200E-07,7.16191E-02
-1.00000E-07,6.86895E-02
-9.98000E-08,6.67363E-02
-9.96000E-08,6.47832E-02
-9.94000E-08,6.18535E-02
-9.92000E-08,5.89238E-02
-9.90000E-08,5.69707E-02
-9.88000E-08,5.50176E-02
-9.86000E-08,5.25762E-02
-9.84000E-08,5.01348E-02
-9.82000E-08,4.86699E-02
-9.80000E-08,4.76934E-02
-9.78000E-08,4.57402E-02
-9.76000E-08,4.28105E-02
-9.74000E-08,4.08574E-02
-9.72000E-08,4.03691E-02
-9.70000E-08,3.98809E-02
-9.68000E-08,3.84160E-02
-9.66000E-08,3.64629E-02
-9.64000E-08,3.40215E-02
-9.62000E-08,3.20684E-02
-9.60000E-08,3.06035E-02
-9.58000E-08,3.01152E-02
-9.56000E-08,2.91387E-02
-9.54000E-08,2.76738E-02
-9.52000E-08,2.66973E-02
-9.50000E-08,2.57207E-02
-9.48000E-08,2.47441E-02
-9.46000E-08,2.32793E-02
-9.44000E-08,2.18145E-02
-9.42000E-08,2.08379E-02
-9.40000E-08,1.98613E-02
-9.38000E-08,1.88848E-02
-9.36000E-08,1.74199E-02
-9.34000E-08,1.59551E-02
-9.32000E-08,1.44902E-02
-9.30000E-08,1.35137E-02
-9.28000E-08,1.35137E-02
-9.26000E-08,1.40020E-02
-9.24000E-08,1.30254E-02
-9.22000E-08,1.00957E-02
-9.20000E-08,8.14258E-03
-9.18000E-08,8.63086E-03
-9.16000E-08,9.60742E-03
-9.14000E-08,9.11914E-03
-9.12000E-08,8.14258E-03
-9.10000E-08,8.14258E-03
-9.08000E-08,8.63086E-03
-9.06000E-08,7.65430E-03
-9.04000E-08,6.18945E-03
-9.02000E-08,5.70117E-03
-9.00000E-08,5.70117E-03
-8.98000E-08,5.70117E-03
-8.96000E-08,6.18945E-03
-8.94000E-08,7.16602E-03
-8.92000E-08,8.14258E-03
-8.90000E-08,7.65430E-03
-8.88000E-08,6.18945E-03
-8.86000E-08,5.70117E-03
-8.84000E-08,6.18945E-03
-8.82000E-08,7.16602E-03
-8.80000E-08,7.65430E-03
-8.78000E-08,8.14258E-03
-8.76000E-08,8.14258E-03
-8.74000E-08,8.14258E-03
-8.72000E-08,8.63086E-03
-8.70000E-08,9.11914E-03
-8.68000E-08,1.00957E-02
-8.66000E-08,1.05840E-02
-8.64000E-08,1.10723E-02
-8.62000E-08,1.20488E-02
-8.60000E-08,1.35137E-02
-8.58000E-08,1.49785E-02
-8.56000E-08,1.54668E-02
-8.54000E-08,1.59551E-02
-8.52000E-08,1.74199E-02
-8.50000E-08,1.98613E-02
-8.48000E-08,2.27910E-02
-8.46000E-08,2.47441E-02
-8.44000E-08,2.62090E-02
-8.42000E-08,2.81621E-02
-8.40000E-08,3.01152E-02
-8.38000E-08,3.25566E-02
-8.36000E-08,3.54863E-02
-8.34000E-08,3.84160E-02
-8.32000E-08,4.13457E-02
-8.30000E-08,4.32988E-02
-8.28000E-08,4.62285E-02
-8.26000E-08,5.01348E-02
-8.24000E-08,5.40410E-02
-8.22000E-08,5.69707E-02
-8.20000E-08,5.89238E-02
-8.18000E-08,6.13652E-02
-8.16000E-08,6.52715E-02
-8.14000E-08,6.96660E-02
-8.12000E-08,7.30840E-02
-8.10000E-08,7.55254E-02
-8.08000E-08,7.84551E-02
-8.06000E-08,8.18730E-02
-8.04000E-08,8.52910E-02
-8.02000E-08,8.82207E-02
-8.00000E-08,9.16387E-02
-7.98000E-08,9.50566E-02
-7.96000E-08,9.84746E-02
-7.94000E-08,1.00428E-01
-7.92000E-08,1.01893E-01
-7.90000E-08,1.03846E-01
-7.88000E-08,1.06775E-01
-7.86000E-08,1.09705E-01
-7.84000E-08,1.11658E-01
-7.82000E-08,1.13611E-01
-7.80000E-08,1.16541E-01
-7.78000E-08,1.19471E-01
-7.76000E-08,1.21424E-01
-7.74000E-08,1.21912E-01
-7.72000E-08,1.22400E-01
-7.70000E-08,1.24842E-01
-7.68000E-08,1.27283E-01
-7.66000E-08,1.28748E-01
-7.64000E-08,1.29725E-01
-7.62000E-08,1.30701E-01
-7.60000E-08,1.31678E-01
-7.58000E-08,1.32654E-01
-7.56000E-08,1.33631E-01
-7.54000E-08,1.35584E-01
-7.52000E-08,1.37049E-01
-7.50000E-08,1.38025E-01
-7.48000E-08,1.39002E-01
-7.46000E-08,1.40467E-01
-7.44000E-08,1.41443E-01
-7.42000E-08,1.42420E-01
-7.40000E-08,1.43396E-01
-7.38000E-08,1.45350E-01
-7.36000E-08,1.47303E-01
-7.34000E-08,1.47791E-01
-7.32000E-08,1.47791E-01
-7.30000E-08,1.48768E-01
-7.28000E-08,1.50232E-01
-7.26000E-08,1.51697E-01
-7.24000E-08,1.52186E-01
-7.22000E-08,1.53162E-01
-7.20000E-08,1.53650E-01
-7.18000E-08,1.54139E-01
-7.16000E-08,1.55115E-01
